https://www.transport.act.gov.au/__data/assets/file/0006/1249692/AllStops.csv
#
#
#
Stop	Description	Latitude	Longitude	Street
3031	Constitution Av after Russell Dr	-35.29177998	149.1451574	CONSTITUTION AV
3032	Anzac Park East Constitution Av	-35.29029083	149.142609	CONSTITUTION AV
3033	Constitution Av after Anzac Park West	-35.28809037	149.1389392	CONSTITUTION AV
3034	Constitution Av opp CIT Reid	-35.28635124	149.1359909	CONSTITUTION AV
3035	Constitution Av opp National Convention Centre	-35.2848598	149.1335098	CONSTITUTION AV
3036	London Cct after Edinburgh Av	-35.28269932	149.1255539	LONDON CCT
3037	London Cct opp City Police Station	-35.28064524	149.1259916	LONDON CCT
3042	City West Alinga St	-35.27825143	149.1270361	ALINGA ST
3044	Narrabundah Terminus Matina St	-35.33158882	149.1589678	MATINA ST
3047	Marcus Clarke St after Farrell Pl	-35.28133353	149.1240164	MARCUS CLARKE ST
3051	Ainslie Av after Cooyong St	-35.27872052	149.1365292	AINSLIE AV
3052	Canberra Centre	-35.2794206	149.1350194	AINSLIE AV
3053	Ainslie Av after Currong St	-35.27810361	149.1381268	AINSLIE AV
3054	Ainslie Av after Doonkuna St	-35.27854836	149.1382616	AINSLIE AV
3055	Ainslie Av after Elimatta St	-35.2770587	149.1407806	AINSLIE AV
3056	Ainslie Av before Elimatta St	-35.27757748	149.1407569	AINSLIE AV
3060	General Bridges Dr before Gallipoli Rd	-35.29515638	149.1665727	GENERAL BRIDGES DR
3061	General Bridges Dr after Harrison Rd	-35.29510828	149.166842	GENERAL BRIDGES DR
3062	Robert Campbell Rd opp Miles Rd	-35.29652282	149.1686456	ROBERT CAMPBELL RD
3063	Robert Campbell Rd before Wilton Rd	-35.29599243	149.1691153	ROBERT CAMPBELL RD
3064	Robert Campbell Rd before Parnell Rd	-35.29781083	149.1670988	ROBERT CAMPBELL RD
3065	Parnell St opp Combes Rd	-35.2990157	149.1658641	PARNELL RD
3066	Parnell St before Plant Rd	-35.29978087	149.1650191	PARNELL RD
3067	Parnell St after Plant Rd	-35.30021768	149.1644381	PARNELL RD
3068	Morrison Cct before Bruche Rd	-35.30202993	149.1635164	MORRISON CCT
3069	Morrison Cct after Bruche Rd	-35.30141906	149.1625907	MORRISON CCT
3070	Russell Dr after Morshead Dr	-35.30071367	149.1509432	RUSSELL DR
3071	Russell Dr before Kelliher Dr	-35.30140833	149.1514718	RUSSELL DR
3072	Russell Dr before Kings Av	-35.29877882	149.1508568	RUSSELL DR
3073	Russell Dr before Vivian Bullwinkel Way	-35.29874102	149.1511065	RUSSELL DR
3074	Blamey Cr before Watt St	-35.29177776	149.149495	BLAMEY CR
3075	Blamey Cr before Vasey Cr	-35.29183387	149.1498879	BLAMEY CR
3076	Blamey Cr opp Chauvel St	-35.2906351	149.1527644	BLAMEY CR
3077	Blamey Cr after Chauvel St	-35.29042108	149.1529874	BLAMEY CR
3078	Campbell PS Chauvel St	-35.29063619	149.1550305	CHAUVEL ST
3079	Chauvel St opp Campbell PS	-35.29093364	149.155387	CHAUVEL ST
3080	Vasey Cr opp 100	-35.28936644	149.1580886	VASEY CR
3081	100 Vasey Cr	-35.28943809	149.1581653	VASEY CR
3082	White St after Vasey Cr	-35.28698473	149.1579363	WHITE CR
3083	Vasey Cr after White St	-35.28782742	149.1585535	VASEY CR
3084	St Thomas More's PS White St	-35.28698666	149.1554527	WHITE CR
3085	White St before 2nd Glossop Cr	-35.28645418	149.1565985	WHITE CR
3086	Campbell Shops White St	-35.28853779	149.1537006	WHITE CR
3087	White St before 1st Glossop Cr	-35.28738411	149.1550542	WHITE CR
3088	Blamey Cr opp Edmondson St	-35.28694916	149.1522446	BLAMEY CR
3089	White St opp Campbell Shops	-35.28847589	149.1535824	WHITE CR
3090	Blamey Cr before Creswell St	-35.28563355	149.14831	BLAMEY CR
3091	Blamey Cr before Edmondson St	-35.2862339	149.1512526	BLAMEY CR
3092	Currong St after Anzac Park West	-35.28431818	149.1437951	CURRONG ST S
3093	Blamey Cr after Creswell St	-35.28551077	149.1481166	BLAMEY CR
3094	Euree St before Elimatta St	-35.28205064	149.1423874	EUREE ST
3095	Currong St before Anzac Park West	-35.28432948	149.1439713	CURRONG ST S
3096	Gooreen St after Coranderrk St	-35.27863098	149.1425579	GOOREEN ST
3097	Euree St after Elimatta St	-35.28201407	149.142569	EUREE ST
3098	Boldrewood St after Barry Dr	-35.27194252	149.1194521	BOLDREWOOD ST
3099	Gooreen St after Allambee St	-35.27838604	149.1425426	GOOREEN ST
3100	Boldrewood St after Froggatt St	-35.27096814	149.1178493	BOLDREWOOD ST
3101	Boldrewood St before Barry Dr	-35.27236514	149.1202854	BOLDREWOOD ST
3102	Boldrewood St after Ridley St	-35.26994309	149.1161012	BOLDREWOOD ST
3103	Boldrewood St before Froggatt St	-35.27070874	149.1175787	BOLDREWOOD ST
3104	Boldrewood St before David St	-35.26895446	149.1148465	BOLDREWOOD ST
3105	Boldrewood St before Spencer St	-35.26949646	149.1155564	BOLDREWOOD ST
3106	Miller St after Hobbs St	-35.26675618	149.1139946	MILLER ST
3107	Miller St after Syme Cr	-35.26705509	149.1140684	MILLER ST
3108	Miller St at Cockle St	-35.26469491	149.1143291	MILLER ST
3109	Miller St before Faunce Cr	-35.26415667	149.1145382	MILLER ST
3110	Miller St before Hack St	-35.26092767	149.1149412	MILLER ST
3111	Miller St opp Hack St	-35.26071951	149.1150908	MILLER ST
3112	Miller St after Quandong St	-35.25730702	149.1155219	MILLER ST
3113	Miller St before Banksia St	-35.25697855	149.1156947	MILLER ST
